iter	Passed	Remaining
0	146	14512
1	158	7769
2	166	5376
3	173	4167
4	179	3409
5	185	2902
6	191	2541
7	195	2253
8	200	2024
9	204	1842
10	209	1696
11	213	1569
12	218	1461
13	224	1380
14	229	1297
15	233	1225
16	238	1162
17	242	1104
18	246	1052
19	251	1004
20	256	964
21	260	925
22	265	888
23	269	854
24	274	822
25	278	793
26	282	762
27	286	737
28	291	712
29	295	689
30	299	667
31	305	648
32	309	628
33	314	609
34	319	592
35	323	574
36	327	557
37	331	541
38	337	528
39	343	514
40	347	500
41	352	486
42	356	472
43	361	459
44	365	446
45	370	434
46	374	422
47	379	410
48	384	399
49	388	388
50	392	377
51	397	366
52	402	357
53	407	346
54	411	336
55	416	326
56	420	317
57	424	307
58	429	298
59	434	289
60	438	280
61	442	271
62	447	262
63	452	254
64	456	245
65	460	237
66	466	229
67	470	221
68	475	213
69	479	205
70	485	198
71	489	190
72	494	182
73	499	175
74	504	168
75	508	160
76	513	153
77	518	146
78	522	138
79	526	131
80	531	124
81	536	117
82	540	110
83	545	103
84	550	97
85	554	90
86	558	83
87	564	76
88	568	70
89	572	63
90	577	57
91	581	50
92	586	44
93	590	37
94	595	31
95	600	25
96	604	18
97	608	12
98	613	6
99	617	0
